Time,Conductivity (mS)
14:35:08,1.68
14:35:14,1.68
14:35:20,1.68
14:35:26,1.69
14:35:32,1.67
14:35:38,1.69
14:35:44,1.7
14:35:50,1.69
14:35:56,1.7
14:36:02,1.68
14:36:08,1.68
14:36:14,1.69
14:36:20,1.7
14:36:26,1.69
14:36:32,1.7
14:36:38,1.69
14:36:44,1.71
14:36:50,1.68
14:36:56,1.69
14:37:02,1.68
14:37:08,1.7
14:37:14,1.7
14:37:20,1.71
14:37:26,1.69
14:37:32,1.69
14:37:38,1.69
14:37:44,1.7
14:37:50,1.69
14:37:56,1.7
14:38:02,1.69
14:38:08,1.69
14:38:14,1.69
14:38:20,1.7
14:38:26,1.69
14:38:32,1.71
14:38:38,1.69
14:38:44,1.7
14:38:50,1.69
14:38:56,1.68
14:39:02,1.69
14:39:08,1.68
14:39:14,1.69
14:39:20,1.71
14:39:26,1.69
14:39:32,1.7
14:39:38,1.68
14:39:44,1.69
14:39:50,1.7
14:39:56,1.69
14:40:02,1.68
14:40:08,1.67
14:40:14,1.69
14:40:20,1.7
14:40:26,1.69
